ファイル名,アプリ名,ページ種別,業界,レイアウト,主要カラー,UIコンポーネント,フロー種別,UI状態,情報密度,注目ポイント,エラー
agoda-416-1752448376851-24.webp,Booking.com,口コミ・レビュー,宿泊旅行,カード式,"白, 青, 赤","ボタン, タブ・セグメントコントロール, 検索フィールド, カード, カルーセル, マップ, レーティング, ツールバー, リスト","検索, 購入・予約",通常状態,中,クチコミスコア（9.1）とロケーション評価（9.5）を分けて表示し、実際のユーザーレビューカードと地図を同一画面内に配置している構成。,
agoda-416-1752448377201-25.webp,Agoda,コンテンツ詳細,宿泊旅行,タブ切替,"ブルー (#1A73E8系), ホワイト, ブラック, レッド（価格表示）","ボタン, タブ・セグメントコントロール, 検索フィールド, リスト, カード, バナー・アラート, タグ・ラベル, フロートボタン, ツールバー","検索, 購入・予約",通常状態,中,ホテル詳細ページの「ロケーション」タブが選択された状態で、観光スポットカテゴリフィルターボタン・距離付きリスト・ホテル概要テキスト・最安値と予約CTAボタンが固定フッターに配置されている構成。,
agoda-416-1752448377586-26.webp,Agoda,コンテンツ詳細,旅行,リスト式,"ブルー (#1A5EAB), ホワイト (#FFFFFF), ブラック (#000000), レッド (#FF0000)","タブ・セグメントコントロール, リスト, ボタン, フロートボタン, ツールバー, タグ・ラベル","選択, 購入・予約",通常状態,中,チェックイン/チェックアウト時間・交通アクセス・朝食料金をアイコン付きセクションで構造化表示し、最下部に最安値と全プラン表示CTAボタンを固定配置している。,
agoda-416-1752448377973-27.webp,Agoda,コンテンツ詳細,宿泊旅行,タブ切替,"ホワイト, ネイビーブルー, レッド, グリーン","ボタン, タブ・セグメントコントロール, 検索フィールド, フロートボタン, リスト, タグ・ラベル, ツールバー","検索, 購入・予約",通常状態,中,「宿泊施設について」タブが選択された状態で、クイックアンサー機能・対応言語（4言語）・子ども＆エキストラベッドポリシーがセクション分けして縦並びに表示され、画面下部に最安値と全プラン表示CTAが固定配置されている。,
agoda-416-1752448378283-28.webp,Agoda,コンテンツ詳細,旅行,タブ切替,ホワイト、ネイビーブルー、レッド,ボタン、タブ・セグメントコントロール、検索フィールド、フロートボタン、リスト、ツールバー、タグ・ラベル,"検索, 購入・予約",通常状態,中,ホテルの宿泊ポリシー（子ども・エキストラベッド）と施設からの注意事項（ニュピ祭日の日程）をセクション分けして縦スクロール表示し、画面下部に最安値と全プラン表示CTAボタンを固定配置している。,
agoda-416-1752448379110-30.webp,Agoda,コンテンツ詳細,宿泊旅行,カード式,"白, 黒, 赤(#E8352A), 青","ボタン, タグ・ラベル, カルーセル, カード, ツールバー, 検索フィールド, バッジ, リスト, ページコントロール","検索, フィルタ・並び替え, 購入・予約",通常状態,高,客室詳細ページにおいて、フィルター条件チップ・写真カルーセル・部屋スペック・料金プランカードが縦一列に集約されており、「残室わずか」バッジと「最安値」強調テキストで予約を促す構成になっている。,
agoda-416-1752448379486-31.webp,Agoda,購入・予約,旅行,カード式,"ブルー (#1B4FD8), レッド (#E53935), ホワイト (#FFFFFF), グリーン (#2E7D32)","ボタン, カード, タグ・ラベル, ドロップダウン, ツールバー, バッジ, リスト","購入・予約, 選択",通常状態,高,同一客室タイプに対して支払い条件（即時払い vs 施設直接払い）とキャンセルポリシーが異なる2プランを縦並びカードで比較表示し、それぞれに独立した予約ボタンとカート追加ボタンを配置している。,
agoda-416-1752448379848-32.webp,Agoda,コンテンツ詳細,旅行,カード式,"白, 青, 赤, 緑","ボタン, ドロップダウン, タグ・ラベル, カード, ツールバー, バッジ",購入・予約,通常状態,高,同一客室タイプに対して異なるキャンセルポリシー・支払い条件・価格を持つ複数の料金プランがカード形式で縦並びに表示されており、各カードに「今すぐ予約」と「カートに追加」の2種類のCTAボタンが設置されている。,
agoda-416-1752448380276-33.webp,Agoda,コンテンツ詳細,宿泊旅行,カード式,"白, 青, オレンジ/赤, パープル","ボタン, タグ・ラベル, バッジ, カルーセル, カード, ページコントロール, ドロップダウン, ツールバー, チェックボックス, アイコン","購入・予約, 選択",通常状態,高,客室詳細ページにおいて、残室数・人気バッジ・料金・キャンセルポリシー・朝食オプションを1カード内に集約し、部屋数セレクタと予約ボタンをインライン横並びで配置している。,
agoda-416-1752448380648-34.webp,Agoda,コンテンツ詳細,宿泊旅行,リスト式,ホワイト、ブラック、ダークネイビー,"カード, カルーセル, ツールバー, タグ・ラベル, ページコントロール, 検索フィールド","選択, 購入・予約",通常状態,中,ハイアットリージェンシーの客室タイプ一覧をリスト形式で表示し、各部屋に画像カルーセル・面積・ベッド情報・完売ステータス付き価格が提示されている。,
agoda-416-1752448381012-35.webp,Agoda,コンテンツ詳細,宿泊旅行,カード式,"白, 黒, 赤(オレンジ), 緑, グレー","ボタン, タグ・ラベル, バッジ, カード, カルーセル, 検索フィールド, ツールバー, バナー・アラート, リスト, チェックボックス","検索, 購入・予約",通常状態,高,客室詳細画面にて価格の割引率・クーポン適用額・キャッシュバック・実質料金を多段階で重ねて表示し、割安感を強調する価格訴求UIが構成されている。,
agoda-416-1752448382887-38.webp,Agoda,検索結果,旅行,カード式,ブルー（#1B4FBB）、ホワイト、レッド、グリーン,ボタン、タグ・ラベル、バッジ、リスト、カード、ツールバー、ステッパー、ドロップダウン,検索、購入・予約,通常状態,高,1つの客室タイプに対して朝食なし・朝食込みの2プランをカード形式で縦並びに表示し、割引率・クーポン適用額・キャッシュバック額・実質料金を同一カード内に集約している,
agoda-416-1752448383315-39.webp,Agoda,コンテンツ詳細,旅行,カード式,"白, 青, オレンジ, 紫","ボタン, カルーセル, タグ・ラベル, バッジ, ツールバー, リスト, カード, ドロップダウン, ページコントロール",購入・予約,通常状態,高,客室詳細画面に残室数バッジ・人気ラベル・朝食オプション・キャンセルポリシー・Wi-Fi等の条件をカード内にまとめ、予約ボタンとカート追加ボタンを並列配置している。,
agoda-416-1752448384016-41.webp,Booking.com,購入・予約,旅行,カード式,"白, 青, 緑, オレンジ","ボタン, カード, タグ・ラベル, バナー・アラート, レーティング, リスト, ツールバー",購入・予約,通常状態,高,画面上部に残り約20分のカウントダウンタイマーを表示し、チェックイン日程・ホテル情報・部屋詳細・アメニティ・残室数警告・キャンセルポリシーを1画面に集約した予約確認ページ。,
agoda-416-1752448384385-42.webp,Booking.com,購入・予約,宿旅,カード式,"白, 青, 緑, 赤","ボタン, ラジオボタン, カード, バナー・アラート, アバター, タグ・ラベル, トースト",購入・予約,通常状態,中,カウントダウンタイマーと残室数アラートを複数箇所に配置し、宿泊代表者情報カードと禁煙・ベッド構成のラジオボタン選択UIを同一画面にまとめた予約確認ステップ画面。,
agoda-416-1752448384685-43.webp,Agoda,購入・予約,旅行,カード式,"ブルー (#1B6FD8), ホワイト, グリーン (#2E9E5B), レッド","ボタン, カード, バナー・アラート, タグ・ラベル, ツールバー, リスト",購入・予約,通常状態,高,カウントダウンタイマー・残室数表示・最安値保証バナーの3つの緊急性訴求要素が同一画面に配置され、料金内訳（税・サービス料）と現地通貨換算額が併記されている予約確認画面。,
agoda-416-1752448385018-44.webp,Agoda,コンテンツ詳細,旅行,リスト式,"白, 黒, 青","シート, リスト, ツールバー, ダイアログ",選択,通常状態,高,モーダルシート形式で「周辺スポット情報」を表示し、人気ランドマークと最寄りランドマークの2セクションに分けて施設名と距離をリスト形式で一覧表示している。,
agoda-416-1752448396534-2.webp,Agoda,購入・予約,旅行,カード式,緑（#4CAF50系）、青（#1976D2系）、白、オレンジ,ボタン、カード、バナー・アラート、タグ・ラベル、バッジ、リスト、ツールバー,購入・予約,通常状態,高,"キャッシュバック特典セクション・クーポン適用セクション・料金内訳セクションの3ブロック構成で、クーポン割引（¥-17,485）適用後の合計金額（¥126,501）をブルーのサマリーバーで強調表示し、カウントダウンタイマー（00:18:58）で価格保持の残り時間を上部に提示している。",
agoda-416-1752448396878-3.webp,Booking.com,購入・予約,宿泊旅行,カード式,"ブルー (#0071C2), ホワイト, ライトグレー, レッド","ラジオボタン, ボタン, カード, バナー・アラート, タグ・ラベル, アコーディオン","購入・予約, 選択",通常状態,,禁煙/喫煙選択・ベッド構成リクエストのラジオボタングループと、税・サービス料を内訳表示した最終料金サマリーカード、およびカウントダウンタイマーによる価格保持アラートが1画面に共存している予約確認ステップ。,
agoda-416-1752448398940-9.webp,Agoda,購入・予約,旅行,カード式,ブルー（#1B4FE4）、ホワイト、グレー,ボタン、カード、バナー・アラート、タグ・ラベル、リスト,購入・予約,通常状態,中,予約完了確認画面として、予約ID・チェックイン/アウト日程・支払い方法の通知を上部カードにまとめ、下部にクロスセル導線（他部屋・他ホテル・フライト予約）を配置した構成。,
agoda-416-1752448399234-10.webp,Agoda,購入・予約,旅行,カード式,"白, 緑, 青","カード, バナー・アラート, ボタン, タグ・ラベル, ダイアログ, シート",購入・予約,通常状態,中,予約完了確認画面の上に、LINE公式アカウント友だち追加を促すモーダルシートが重なって表示される二層構造になっている。,
agoda-416-1752448403089-21.webp,Agoda,コンテンツ詳細,旅行,カード式,"白, 紫, 青, オレンジ","ボタン, 検索フィールド, カード, カルーセル, タグ・ラベル, バッジ, ツールバー, リスト, ページコントロール",購入・予約,通常状態,高,客室写真カルーセル・残室わずかバッジ・子供無料タグ・アメニティ一覧・キャンセルポリシー・朝食オプション料金を1画面に集約したホテル客室詳細レイアウト。,
agoda-416-1752448427216-19.webp,KKday,口コミ・レビュー,旅行,リスト式,"ホワイト, ブラック, オレンジ（星評価）, グレー","レーティング, タグ・ラベル, アバター, リスト, ツールバー, バッジ, ボタン",レビュー・評価,通常状態,中,総合評価4.8（168件）を星別件数バーグラフで可視化し、フィルタボタン（関連性順・写真付き・5つ星）と匿名ユーザーのテキストレビューカードをリスト表示する構成。,
agoda-416-1752448429963-27.webp,Agoda,検索結果,旅行,カード式,"ブルー (#1A56DB), ホワイト (#FFFFFF), レッド (#E53935), グリーン (#2E7D32)","ボタン, タブ・セグメントコントロール, 日付・時間選択, カード, タグ・ラベル, ツールバー","検索, 選択, 購入・予約",通常状態,高,日付選択横スクロール＋プロモコード（ACTPROMO）適用済み割引額をカード内に明示し、元値と割引後価格を併記したツアー選択画面。,
agoda-416-1752448457665-28.webp,Agoda,クーポン・リワード,旅行,タブ切替/カード式/リスト式,"ライトサーモンピンク, ネイビーブルー, オレンジレッド, ホワイト","タブ・セグメントコントロール, カード, リスト, テキストフィールド, ボタン, バッジ, ボトムナビ, ツールバー, タグ・ラベル, バナー・アラート","選択, 購入・予約",通常状態,中,「おすすめ/クーポン/プロモーション」の3タブ構成で、プロモコード入力フィールドとカード型クーポン一覧が同一画面内に共存している。,
agoda-416-1752448480238-15.webp,Klook,タイムライン・履歴,旅行,カード式,"ブルー(#1B6FD8), ホワイト, ダークネイビー","ボタン, タブ・セグメントコントロール, カード, バナー・アラート, バッジ, ボトムナビ, タグ・ラベル, ツールバー",購入・予約,通常状態,中,「利用前の予約」タブ内に旅程ビューとリストビューの切替が可能で、通知バナー・予約確定カード・おすすめセクションが縦に積層配置されている。,
01e9bcac-db8a-482b-9d4f-bae86e5b2431.png,Booking.com,カレンダー,旅行,全画面,"ネイビー (#003580), ブルー (#2563EB), ホワイト (#FFFFFF), ライトグレー (#F5F5F5)","日付・時間選択, ボタン, ツールバー","購入・予約, 選択",通常状態,低,2ヶ月分のカレンダーを縦スクロール形式で表示し、選択された日付範囲（5月16日〜17日）が青色ハイライトで強調され、画面下部に選択期間と泊数の確認テキスト、および確定ボタンが固定表示されている。,
115f835e-1c9a-4558-a6cc-957b962a8e47.png,Booking.com,コンテンツ詳細,旅行,カード式,"ダークブルー(#003580), ホワイト, ゴールドイエロー","ボタン, マップ, レーティング, タグ・ラベル, バッジ, リスト, ツールバー, カード",購入・予約,通常状態,中,地図・住所・Genius会員特典・評点カテゴリ別スコア（WiFi/お得感/スタッフ）を縦スクロール形式で一画面に集約し、最下部に固定CTAボタン「客室選択」を配置した構成。,
14ef1b72-5feb-48fa-b731-6ece7ad9d98a.png,Booking,フィルタ・並び替え,旅行,リスト式,"ホワイト (#FFFFFF), ブルー (#0071C2), ライトグレー (#F5F5F5)","ボタン, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,中,"予算・人気条件・ホテルランクの3カテゴリをピル型トグルボタンで構成し、選択中の条件（¥15,000-¥20,000）を青枠ハイライトで明示、画面下部に該当件数（720軒）と検索結果表示CTAを固定表示している。",
1f7bd72b-476c-4bd6-9d07-cba9a786f2d8.png,Booking.com,コンテンツ詳細,宿泊/旅行,シート,"#003580（ネイビーブルー）, #FFFFFF（ホワイト）, #FFD700（ゴールド）","ボタン, ステッパー, カルーセル, バナー・アラート, タグ・ラベル, レーティング, ツールバー, シート","購入・予約, 選択",通常状態,中,ホテル詳細画面上にボトムシートとして「部屋数・大人・子供（0〜17歳）」をステッパーUIで選択する宿泊者構成設定パネルが重なって表示されている。,
20caad62-a39d-4f0d-bda6-860c85650706.png,Booking,フィルタ・並び替え,旅行,リスト式,"ホワイト (#FFFFFF), ブルー (#003580), ライトグレー (#F5F5F5)","ボタン, チェックボックス, アコーディオン, タグ・ラベル, ツールバー, リスト",フィルタ・並び替え,通常状態,中,口コミの絞り込みカテゴリ（旅行者タイプ・言語・時期）とキーワードタグ選択（駐車場・トイレが選択済み）を組み合わせた多軸フィルタUIで、下部固定の「絞り込む」CTAボタンで確定する構成。,
27c71ecd-a77d-4c43-9068-dbeca8dbc07d.png,Booking.com,コンテンツ詳細,宿泊旅行,リスト式,"ネイビーブルー (#003580), ブルー (#0071C2), ホワイト (#FFFFFF), グレー (#F5F5F5)","ボタン, リスト, タグ・ラベル, バナー・アラート, ツールバー, アイコン付きリスト","選択, 購入・予約",通常状態,中,健康・衛生への取り組みセクションとアイコン付き施設リストを縦並びに配置し、画面下部に固定CTAボタン（客室選択）とインラインフィードバックダイアログが同時表示されている。,
295d842c-19fa-44ae-acfc-1761f9c3d4a1.png,Booking.com,コンテンツ詳細,宿旅,リスト式,"ネイビーブルー (#003580), ホワイト (#FFFFFF), ダークグレー (#333333)","ツールバー, リスト, タグ・ラベル",選択,通常状態,中,宿泊施設のポリシーページで、クレジットカード種別・チェックイン/アウト・子供ポリシー・Wi-Fi・駐車場・ペットの6カテゴリをアイコン付きセクションで縦並びに整理している。,
436c6b8f-8e78-46ce-a90b-87781d58b05a.png,Booking,フィルタ・並び替え,旅行,リスト式,"ホワイト, ブルー (#1A5276系), グレー","ボタン, アコーディオン, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,中,口コミの絞り込み画面で、旅行者タイプ別件数表示・言語・時期のアコーディオンセクションと、施設関連キーワードタグ群（朝食・駐車場・バス等11項目）を組み合わせた構成になっている。,
4e53150b-2367-4524-8b99-2f010985c7bf.png,じゃらん or 楽天トラベル系予約アプリ,カレンダー,旅行,グリッド,"ネイビー(#1A2B4A), ブルー(#2563EB), ホワイト, ライトグレー","ボタン, 日付・時間選択, テーブル, バナー・アラート, ツールバー","購入・予約, 選択",通常状態,中,7列カレンダーグリッドの各日付セルに1泊あたりの目安料金(¥11K〜¥15K)を併記し、選択中の日程範囲(5月16日〜17日)をブルーのハイライトで視覚的に示している。,
501071a5-2998-4d67-9174-0cf89f5d3934.png,Booking.com,購入・予約,旅行,リスト式,"ネイビーブルー (#003580), ホワイト, グリーン (#4CAF50), レッド","ボタン, タグ・ラベル, ツールバー, リスト, バナー・アラート, ページコントロール",購入・予約,通常状態,中,3ステップ進捗インジケーター（ステップ2表示中）と、元値に取り消し線を引いた割引後価格・セール名称・合計金額を縦に並べた価格サマリーセクション、および固定フッターに予約ボタンと合計金額を重複表示する構成を持つホテル予約確認画面。,
5059c91d-96e5-475c-8ff6-8c5bce2e9373.png,Booking,検索結果,宿泊旅行,カード式,"ネイビーブルー, ホワイト, ゴールド/イエロー, グリーン","カード, タグ・ラベル, バッジ, レーティング, ツールバー, 検索フィールド, ボタン, リスト","検索, フィルタ・並び替え",通常状態,高,各宿泊施設カードに評価スコア・清潔さスコア・元値と割引後価格・残室数・キャンセル無料バッジ・期間限定セールラベルを集約表示し、1705件のヒット件数をリスト上部に明示している。,
60e0577c-3cb0-411c-ad89-7a7ae95097d3.png,Booking.com,購入・予約,宿旅,カード式,"ダークブルー(#003580), ホワイト, グリーン(#008009), レッド(#CC0000)","ボタン, カード, タグ・ラベル, バッジ, ドロップダウン, ツールバー, リスト","選択, 購入・予約",通常状態,高,"同一客室タイプ(ジュニアスイート)を大人2名・3名の定員別で縦に並べて比較表示し、HOLIDAYセール価格(¥35,000→¥25,480)・キャンセルポリシー・ベッド構成・朝食有無・アメニティアイコンを1カード内に集約している。",
6c382476-688f-4aca-aea6-437fb0e84ed4.png,Booking,フィルタ・並び替え,宿泊旅行,リスト式,"白, 青, グレー","ボタン, スイッチ・トグル, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,中,食事・無料キャンセル・特別料金・ホテルチェーン・クチコミスコアの5カテゴリを縦スクロール形式で並べ、各項目はアウトラインボタン型タグで選択し、下部に該当件数720軒と検索結果表示ボタンを固定表示する構成。,
7c1c19c3-01ae-41c8-8b7c-87d6bcc227b8.png,Booking.com,購入・予約,旅行,リスト式,"ダークブルー (#003580), ホワイト (#FFFFFF), グリーン (#008234), レッド (#CC0000)","ツールバー, リスト, タグ・ラベル",購入・予約,通常状態,中,客室料金・消費税・Booking.comによる割引負担額を項目別に分解表示し、元値との差額を赤字打ち消し線と最終金額で並列表示する料金内訳画面。,
7fb09274-b053-4bd2-9d03-d0fe5cce5556.png,Booking.com,購入・予約,旅行,カード式,"ネイビーブルー (#003580), ホワイト, グリーン (#00B67A), レッド (#CC0000)","ボタン, カード, バナー・アラート, タグ・ラベル, バッジ, リスト, ツールバー","購入・予約, 選択, キャンセル・返金",通常状態,高,キャンセルポリシー警告バナーを最上部に配置し、客室カード内に元値・割引価格・残室数・HOLIDAYセールラベルを集約して緊急性と割引訴求を同時に提示している。,
86401ffd-c448-493f-8c52-99e07e42b37c.png,Booking.com,検索結果,旅行,カード式,"ネイビーブルー (#003580), ホワイト, ゴールド/イエロー, レッド","検索フィールド, カード, レーティング, タグ・ラベル, バッジ, ツールバー, バナー・アラート, リスト, ボタン","検索, フィルタ・並び替え, 購入・予約",通常状態,高,各宿泊施設カードに価格・割引率・スコア・清潔さ評価・残室数警告・キャンセルポリシーを一括表示し、Geniusバッジや割引前後価格の併記で意思決定を促す構成になっている。,
90050130-0e9a-48b5-8302-553af9571a3c.png,Booking.com,コンテンツ詳細,宿泊旅行,カード式,"ダークブルー(#003580), ホワイト, ゴールド(星評価), グリーン(セールバッジ)","ボタン, レーティング, カルーセル, タグ・ラベル, バッジ, ツールバー, リスト, アコーディオン, バナー・アラート","購入・予約, 選択",通常状態,中,ホテル写真を2行グリッドで複数枚表示し、チェックイン・アウト日程と宿泊人数の確認情報を縦にまとめた上で、単一のCTAボタン「客室選択」へ誘導する構成になっている。,
a3d5b135-3b2e-4bfb-8f1e-d0fac470ebe1.png,Booking,コンテンツ詳細,宿泊旅行,リスト式,"ネイビーブルー (#003580), ホワイト (#FFFFFF), ブラック (#000000)","ツールバー, リスト, タグ・ラベル",購入・予約,通常状態,中,宿泊施設の予約条件（前払い・キャンセルポリシー・子供対応・食事・税金）をアイコン付きのセクション区切りリスト形式で一覧表示している。,
b355696f-8fa9-420f-ace1-579963a0d4c5.png,Booking.com,ホーム,旅行,カード式,"ダークブルー(#003580), ホワイト, イエロー(#FFB700), ブルー(#0071C2)","テキストフィールド, ボタン, 日付・時間選択, ボトムナビ, 検索フィールド, バナー・アラート, カード, タブ・セグメントコントロール, ツールバー",検索,通常状態,低,目的地・日程・人数をまとめたイエロー枠の検索ボックスをファーストビューの中心に配置し、COVID-19注意バナーとプロモーション画像バナーを下部に縦積みしたシンプルな構成。,
b4dd3d5f-b62e-453f-a4bb-22d200f9e53d.png,Booking.com,フィルタ・並び替え,宿泊旅行,リスト式,"ホワイト (#FFFFFF), ネイビーブルー (#003580), シアンブルー (#0071C2)","ボタン, タグ・ラベル, ツールバー, アコーディオン",フィルタ・並び替え,通常状態,中,貸切タイプ・宿泊施設タイプ・ベッド台数・施設設備の4カテゴリをピルボタン形式で選択でき、該当件数がリアルタイムで表示される構成になっている。,
ba610879-1989-4201-8c11-3cacbfe6d021.png,Booking.com,フィルタ・並び替え,宿泊旅行,リスト式,"ホワイト, ネイビーブルー, ブルー(#003580系)","ボタン, タグ・ラベル, ツールバー",フィルタ・並び替え,通常状態,中,お部屋の設備・ベッドタイプ・都市・観光スポットの4カテゴリを縦に並べ、各カテゴリ内の選択肢をピル型タグで横並びに表示し、件数を括弧内に明示した絞り込み画面で、下部に該当件数(720軒)と検索結果表示ボタンを固定配置している。,
bcdf1777-9081-4644-9943-77c4529881ab.png,Booking.com,購入・予約,旅行,リスト式,"ダークブルー (#003580), グリーン (#28A745), レッド (#E74C3C), ホワイト (#FFFFFF)","ボタン, バナー・アラート, タグ・ラベル, リスト, ツールバー, テキストフィールド",購入・予約,通常状態,中,3ステップ進捗インジケーター（ステップ2表示中）、緊急性を促す「最後の1部屋」アラート、取り消し線付き元値と割引価格の併記、キャンセル無料を強調した固定CTAバーが画面下部に配置されている予約確認画面。,
c9351561-3a12-47e5-af13-eaab7616f080.png,Booking.com,口コミ・レビュー,旅行,リスト式,"ダークネイビー (#003580), ホワイト (#FFFFFF), ライトグレー","ツールバー, リスト, アクションシート, ラジオボタン, タグ・ラベル, バッジ","フィルタ・並び替え, レビュー・評価",パーシャルステート,中,ホテルのカテゴリ別評価スコア（WiFi/お得感/スタッフ/ロケーション/快適さ/施設設備）をバーグラフで表示した画面の上に、レビューの並び替えオプション（関連性/新しい順/古い順/スコア高低）を選択するアクションシートがオーバーレイ表示されている。,
d5df5af0-9607-4ca2-9edb-777c52e06490.png,Booking.com,購入・予約,宿泊旅行,カード式,"ネイビーブルー (#003580), ホワイト, グリーン (#00853D), レッド","ボタン, カード, タグ・ラベル, バッジ, ツールバー, リスト","選択, 購入・予約",通常状態,高,同一客室タイプ「ジュニアスイート」を定員人数（大人3名・4名）別に分けた2カードを縦スクロールで並列表示し、HOLIDAYセールによる値引き価格・残室数警告・キャンセル無料期限を各カード内に集約している。,
fa876479-d537-4cf3-aa74-5bbac266c45a.png,Booking,検索結果,旅行,カード式,"ダークブルー (#003580), ホワイト, ゴールド (星評価), グリーン (バッジ・価格)","検索フィールド, ボタン, タグ・ラベル, バッジ, レーティング, カード, リスト, ツールバー","検索, フィルタ・並び替え",通常状態,高,価格フィルターが複数タグで表示され、各宿泊施設カードに元値・割引後価格・税込表示・キャンセルポリシー・Geniusバッジ・スコアが同時に提示されている,
fedc8009-01e5-4e9c-90ac-120a8fcbc570.png,Booking.com,購入・予約,旅行,リスト式,"ネイビーブルー (#003580), ホワイト, グリーン (#4CAF50), レッド","ボタン, レーティング, カード, タグ・ラベル, ツールバー, バナー・アラート, テキストフィールド, ページコントロール",購入・予約,通常状態,高,3ステップ進捗インジケーター（現在ステップ2）を上部に表示し、元の料金・セール割引・Booking.com負担額の3段階値引き構造を明示した価格サマリーと、残り1部屋の緊急性アラートおよびキャンセル無料バナーを同一画面内に配置している。,
IMG_1718.PNG,一休.com,ホーム,宿泊・旅行,カード式,"ネイビーブルー (#1A3A6B), ホワイト (#FFFFFF), イエロー (#FFD700), ライトブルー (#4A90D9)","バナー・アラート, 検索フィールド, 日付・時間選択, ステッパー, ボタン, ページコントロール, カード, カルーセル, ボトムナビ, タグ・ラベル, フロートボタン, タブ・セグメントコントロール","検索, 購入・予約",通常状態,中,画面上部にプロモーションバナー、中央に宿泊施設検索ウィジェット（エリア・日付・人数）、下部にランキングカルーセルを配置した縦スクロール型ホーム画面構成。,
IMG_1719.PNG,一休.com,コンテンツ詳細,宿泊・旅行,カード式,"白, 紺青, 黄色, ゴールド","バナー・アラート, カルーセル, ページコントロール, タブ・セグメントコントロール, レーティング, タグ・ラベル, ボタン, ボトムナビ, ツールバー",購入・予約,通常状態,中,ホテル詳細ページにロビー画像カルーセル・評価スコア・チェックイン情報・客室数・最低価格をまとめて表示し、固定フッターに価格とCTAボタンを配置している。,
IMG_1720.PNG,一休,コンテンツ詳細,宿泊/旅行,カード式,"白, 黒, 青(#007AFF系), グレー","タブ・セグメントコントロール, カード, リスト, カルーセル, ボタン, バッジ, ボトムナビ, ツールバー, タグ・ラベル",購入・予約,通常状態,中,ホテル詳細ページにおいて、上部に水平スクロール可能なタブナビ（予約/詳細/クチコミ/写真/空室カレンダー/地図）を配置し、口コミテキスト・複数施設写真・施設説明・お知らせを縦スクロールで段階的に表示する構成となっている。,
IMG_1721.PNG,一休.com,コンテンツ詳細,宿泊/旅行,タブ切替/カード式,"ネイビー(#1A3A6B), ブルー(#2E7FD4), ホワイト(#FFFFFF), ライトグレー(#F5F5F5)","ボタン, タブ・セグメントコントロール, タグ・ラベル, カード, カルーセル, ボトムナビ, ツールバー, バッジ","検索, フィルタ・並び替え, 購入・予約",通常状態,中,部屋(23件)とプラン(19件)をセグメントコントロールで切り替え可能で、朝食付き・夕朝食付き・禁煙などのフィルタタグと安い順/高い順の並び替えを組み合わせた宿泊予約選択画面で、ポイントの即時利用・貯める選択トグルが上部に配置されている。,
IMG_1722.PNG,一休,カレンダー,宿旅,テーブル,青（#2D7DD2）、白、グレー、赤（日曜日強調）,"ステッパー, チェックボックス, テーブル, タグ・ラベル, ボトムナビ, タブ・セグメントコントロール, ツールバー","購入・予約, 選択, フィルタ・並び替え",通常状態,高,カレンダー形式で各日付に最低料金（円〜）を表示し、選択中の日付範囲（5/13〜14）を青背景でハイライト、空室待ちや料金なし（-）の日も視覚的に区別して表示している。,
IMG_1723.PNG,一休,カレンダー,宿旅,テーブル,"ホワイト, ブルー (#1E7FD9), レッド, グレー","ボタン, チェックボックス, ステッパー, タブ・セグメントコントロール, テーブル, ボトムナビ, ツールバー, タグ・ラベル","購入・予約, フィルタ・並び替え, 選択",パーシャルステート,高,2泊分の宿泊料金（円〜表記）を月別カレンダー形式で日付ごとに表示し、空室なし・空室待ちのステータスも同セル内に併記している。,
IMG_1724.PNG,一休,フィルタ・並び替え,宿泊旅行,シート,"#1A3A6B（ネイビー）, #FFFFFF（ホワイト）, #2979FF（ブルー）","ボタン, ステッパー, ドロップダウン, シート, タブ・セグメントコントロール, タグ・ラベル, ボトムナビ, ツールバー","検索, フィルタ・並び替え",通常状態,中,ボトムシート形式で大人人数・子供・室数を設定するゲスト構成セレクターが、背景の部屋・プラン検索画面にオーバーレイ表示されている。,
IMG_1725.PNG,一休,購入・予約,宿泊/旅行,リスト式,ブルー（#1A6FD4系）、ホワイト、ライトグレー,"ボタン, ステッパー, アコーディオン, ボトムナビ, タブ・セグメントコントロール, ツールバー","購入・予約, フィルタ・並び替え, 選択",通常状態,中,宿泊人数入力画面において、子供を「小学生（高学年・低学年）」と「乳幼児（食事・寝具の有無4パターン）」に細分化したステッパーUIでアコーディオン展開されている。,
IMG_1726.PNG,一休,フィルタ・並び替え,宿泊,リスト式,"ホワイト (#FFFFFF), ダークネイビー (#1A3A6B), ライトグレー (#F2F2F2)","チェックボックス, ボタン, タブ・セグメントコントロール, ボトムナビ, タグ・ラベル, ツールバー","フィルタ・並び替え, 検索",通常状態,中,部屋タイプ・食事・部屋のこだわりの3カテゴリにグループ化されたチェックボックス群と、各選択肢に括弧内で該当プラン数が併記されている構成。,
IMG_1727.PNG,一休,フィルタ・並び替え,宿泊/旅行,リスト式,"ブルー (#2B6CB0系), ホワイト, ライトグレー","チェックボックス, ラジオボタン, スライダー, テキストフィールド, ボタン, ボトムナビ, タブ・セグメントコントロール, ツールバー","フィルタ・並び替え, 検索",通常状態,中,客室設備のチェックボックス（件数付き）、レイトチェックアウト時間のラジオボタン選択、価格帯のデュアルハンドルスライダーと数値入力フィールドを組み合わせた3種類の絞り込み要素が縦に並んでいる。,
